id,parametertype_id,spec_id,text,column,operator,value,linker,operator2,value2,color,show,DDF_type,inverse,regex_filter,u_created,u_modified,translations,DDF_unit,name,DDF_target_value,DDF_custom_color
81634,10931,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Metazachlor,0.01,
81635,10950,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Octachlorostyrene,0.01,
81636,10955,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Methoxychlorine,0.01,
81637,10956,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Oxadiazone,0.01,
81638,10960,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Metobromuron,0.01,
81639,10961,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Oxathiapiproline,0.01,
81640,10962,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Metolachlor/S-metolachlor,0.01,
81641,10965,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Oxydemeton-methyl,0.01,
81642,10966,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Metosulam,0.01,
81643,10969,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Metrafenone,0.01,
81644,10972,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Paraoxone ethyl,0.01,
81645,10973,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Metsulfuron-methyl,0.01,
81646,10974,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Mevinphos,0.01,
81647,10975,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Paraoxon-methyl,0.01,
81648,10980,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Parathion-methyl,0.01,
81649,10990,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Pencycuron,0.01,
81650,10992,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Pencycuron-PB-amine,0.01,
81651,10994,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Pendimethalin,0.01,
81652,10997,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Prallethrin,0.01,
81653,10998,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Pentachloroaniline,0.01,
81654,11000,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Pretilachlor,0.01,
81655,11014,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Pethoxamide,0.01,
81656,11020,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Phenothrin,0.01,
81657,11022,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Phenthoate,0.01,
81658,11030,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Propiconazole,0.01,
